hidden_dim,corruption,n,orig_top1,orig_top5,quad_top1,quad_top5,quad_vs_orig_agree
64,contrast,8041,0.9267504041785848,0.987688098495212,0.9069767441860465,0.9888073622683746,0.9481407785101356
64,gaussian_noise,8041,0.8998880736226837,0.9840815818927994,0.8766322596691953,0.9834597686854869,0.9330928988931725
64,impulse_noise,8041,0.8880736226837458,0.9842059445342619,0.8697923143887576,0.9829623181196369,0.9271234921029723
64,jpeg_compression,8041,0.9359532396468101,0.9907971645317747,0.9164283049371968,0.9907971645317747,0.9536127347344857
64,motion_blur,8041,0.9228951622932471,0.9860713841561994,0.9029971396592463,0.985449570948887,0.9466484268125855
64,spatter,8041,0.8845914687227957,0.9798532520830743,0.8691705011814451,0.9791070762342993,0.9291132943663724
128,contrast,8041,0.9369481407785102,0.9906728018903121,0.9268747668200472,0.9899266260415371,0.9689093396343739
128,gaussian_noise,8041,0.9131948762591717,0.9875637358537496,0.8993906230568337,0.9856982962318119,0.9546076358661858
128,impulse_noise,8041,0.9051113045641089,0.9863201094391245,0.8961571943788086,0.9844546698171869,0.9549807237905733
128,jpeg_compression,8041,0.9440368113418729,0.9925382415122497,0.9358288770053476,0.9917920656634747,0.9726402188782489
128,motion_blur,8041,0.9343365253077975,0.9894291754756871,0.9222733490859346,0.9880611864195995,0.9648053724661112
128,spatter,8041,0.906852381544584,0.9844546698171869,0.8926750404178585,0.9805994279318493,0.9549807237905733
256,contrast,8041,0.9417982837955479,0.9912946150976246,0.9333416241760975,0.9910458898146997,0.9752518343489616
256,gaussian_noise,8041,0.9207809973883845,0.9884342743439871,0.9108319860713842,0.9875637358537496,0.9712722298221614
256,impulse_noise,8041,0.9172988434274344,0.9884342743439871,0.904862579281184,0.9873150105708245,0.9675413505782863
256,jpeg_compression,8041,0.9486382290759856,0.9927869667951748,0.9395597562492227,0.9930356920780997,0.9762467354806617
256,motion_blur,8041,0.9383161298345977,0.9901753513244621,0.9302325581395349,0.988931724909837,0.975127471707499
256,spatter,8041,0.9143141400323342,0.984703395100112,0.9044894913567965,0.9838328566098744,0.9684118890685238
